Bacterial Genera,Bacterial species
Staphylococcus,pettenkoferi
Staphylococcus,epidermidis
Staphylococcus,caprae
Staphylococcus,aureus
Staphylococcus,cohnii
Staphylococcus,hominis
Staphylococcus,warneri
Staphylococcus,capitis
Sporosarcina,aquimarina
Streptomyces,platensis
Solibacillus,silvestris
Terracoccus,luteus
Rubritepida,flocculans
Rothia,dentocariosa
Rhodococcus,opacus
Rhizophagus,irregularis
Ralstonia,pickettii
Pseudomonas,putida
Pseudomonas,luteola
Pantoea,agglomerans
Propionibacterium,acnes
Penicillium,digitatum
Penicillium,camemberti
Planococcus,citreus
Massilia,alkalitolerans
Malassezia,globosa
Micrococcus,luteus
Kytococcus,sedentarius
Filibacter,limicola
Lysinibacillus,fusiformis
Delftia,acidovorans
Cronartium,comandrae
Corynebacterium,pseudogenitalium
Corynebacterium,Ihumii
Corynebacterium,aurimucosum
Coniosporium,apollinis
Candidatus,Hamiltonella
Bradyrhizobium,genosp
Bacillus,ginsengihumi
Bacillus,cereus
Bacillus,nealsonii
Bacillus,pumilus
Bacillus,firmus
Aureobasidium,megaterium
Aureobasidium,pullulans
Alternaria,arborescens
Acinetobacter,radioresistens
Acidovorax,temperans
Aspergillus,lahaulensis
Aspergillus,fumigatus
Aspergillus,niger
Aspergillus,terreus
